"","X","AutoResp.Cycle.Loop","Chamber","MO2.no.Background.Correction","Hour","Treatment","Time.of.Day","Day","MO2","Genotype","Trial"
"364",9,21,6,-0.0285087952595586,9,50,"day",1,-0.029355199,60,4
"365",10,22,6,-0.0435162307952355,10,50,"day",1,-0.04499619,60,4
"366",11,23,6,-0.0541251177727822,11,50,"day",1,-0.05603983,60,4
"367",12,24,6,-0.0524154457437,12,50,"day",1,-0.054265161,60,4
"368",13,25,6,-0.087865354445184,13,50,"night",1,-0.091148154,60,4
"369",14,26,6,-0.0482640051927789,14,50,"night",1,-0.049911602,60,4
"370",15,27,6,-0.0464402185254751,15,50,"night",1,-0.048001208,60,4
"371",16,28,6,-0.0575798297766299,16,50,"night",1,-0.05961033,60,4
"372",17,29,6,-0.0525547413915205,17,50,"night",1,-0.054379351,60,4
"373",18,30,6,-0.046653712913332,18,50,"night",1,-0.04823277,60,4
"374",19,31,6,-0.055367909671783,19,50,"night",1,-0.057322211,60,4
"375",20,32,6,-0.0344346257930461,20,50,"night",1,-0.035532181,60,4
"376",21,33,6,-0.0650013073095786,21,50,"night",1,-0.067289223,60,4
"377",22,34,6,-0.0343890390488404,22,50,"night",1,-0.035446571,60,4
"378",23,35,6,-0.0521361447644395,23,50,"night",1,-0.053942075,60,4
"379",24,36,6,-0.0549207702557555,24,50,"night",1,-0.056850952,60,4
"380",25,37,6,0.0438879072977126,25,50,"day",2,0.046079285,60,4
"381",26,38,6,-0.0256037982934253,26,50,"day",2,-0.026378608,60,4
"382",27,39,6,-0.00325639782736168,27,50,"day",2,-0.003133412,60,4
"383",28,40,6,-0.0267325776809688,28,50,"day",2,-0.02753999,60,4
"384",29,41,6,-0.024897926145089,29,50,"day",2,-0.025623185,60,4
"385",30,42,6,-0.015104593652507,30,50,"day",2,-0.015425659,60,4
"386",31,43,6,-0.00351216470937248,31,50,"day",2,-0.003344117,60,4
"387",32,44,6,-0.0279347156141591,32,50,"day",2,-0.02877649,60,4
"388",33,45,6,-0.0293440758213358,33,50,"day",2,-0.03024948,60,4
"389",34,46,6,-0.00869287739279766,34,50,"day",2,-0.008739957,60,4
"390",35,47,6,-0.0177365834864931,35,50,"day",2,-0.018151258,60,4
"391",36,48,6,-0.0236514813080658,36,50,"day",2,-0.024308023,60,4
"392",37,49,6,-0.0396600518837862,37,50,"night",2,-0.040957128,60,4
"393",38,50,6,-0.0119701832125258,38,50,"night",2,-0.012134084,60,4
"394",39,51,6,-0.0226376334615523,39,50,"night",2,-0.023239412,60,4
"395",40,52,6,-0.0190309258318703,40,50,"night",2,-0.019480442,60,4
"396",41,53,6,-0.0250130892940383,41,50,"night",2,-0.025709652,60,4
"397",42,54,6,-0.0217210517023989,42,50,"night",2,-0.022288439,60,4
"398",43,55,6,-0.0230041879867576,43,50,"night",2,-0.023622001,60,4
"399",44,56,6,-0.0176407386308111,44,50,"night",2,-0.018039727,60,4
"400",45,57,6,-0.0194551296079241,45,50,"night",2,-0.019924915,60,4
"401",46,58,6,-0.0178466131376042,46,50,"night",2,-0.018255444,60,4
"402",47,59,6,-0.0178042217367296,47,50,"night",2,-0.018204841,60,4
"403",48,60,6,-0.0246789065879461,48,50,"night",2,-0.025402033,60,4
"404",49,61,6,-0.0575578727726421,49,50,"day",3,-0.059604988,60,4
"405",50,62,6,-0.0295761207429388,50,50,"day",3,-0.030456238,60,4
"406",51,63,6,-0.0410675589771623,51,50,"day",3,-0.042417233,60,4
"407",52,64,6,-0.0153325696434416,52,50,"day",3,-0.015634588,60,4
"408",53,65,6,-0.0134819644876975,53,50,"day",3,-0.01371279,60,4
"409",54,66,6,-0.0222899548008857,54,50,"day",3,-0.022866199,60,4
"410",55,67,6,-0.00994197983538459,55,50,"day",3,-0.010026675,60,4
"411",56,68,6,-0.0444255637524559,56,50,"day",3,-0.045925075,60,4
"412",57,69,6,-0.050115307175858,57,50,"day",3,-0.051853556,60,4
"413",58,70,6,-0.0330273308840248,58,50,"day",3,-0.034062132,60,4
"414",59,71,6,-0.0303436576440755,59,50,"day",3,-0.031265011,60,4
"415",60,72,6,-0.0315357577685196,60,50,"day",3,-0.032508869,60,4
"416",61,73,6,-0.0459777642131888,61,50,"night",3,-0.047522579,60,4
"417",62,74,6,-0.0446308930080696,62,50,"night",3,-0.046124221,60,4
"418",63,75,6,-0.0806007478527676,63,50,"night",3,-0.083522884,60,4
"419",64,76,6,-0.0285433569603493,64,50,"night",3,-0.02937484,60,4
"420",65,77,6,-0.0276545841801186,65,50,"night",3,-0.028446086,60,4
"421",66,78,6,-0.0322005661360957,66,50,"night",3,-0.033185217,60,4
"422",67,79,6,-0.0300377619647776,67,50,"night",3,-0.030929422,60,4
"423",68,80,6,-0.0352777388933082,68,50,"night",3,-0.036414228,60,4
"424",69,81,6,-0.0267317702673228,69,50,"night",3,-0.027476204,60,4
"425",70,82,6,-0.0293409603984598,70,50,"night",3,-0.030190458,60,4
"426",71,83,6,-0.0189839963294131,71,50,"night",3,-0.019412559,60,4
"427",1,13,7,0.00751156133189204,1,15,"day",1,0.025703305,60,4
"428",2,14,7,-0.00270536616757131,2,15,"day",1,0.015058981,60,4
"429",3,15,7,0.000489205117940626,3,15,"day",1,0.018382855,60,4
"430",4,16,7,-0.00156290456701296,4,15,"day",1,0.016241841,60,4
"431",5,17,7,-0.000161728015277977,5,15,"day",1,0.017696308,60,4
"432",6,18,7,0.000773791329208645,6,15,"day",1,0.018682209,60,4
"433",7,19,7,-0.00329193254976828,7,15,"day",1,0.014452402,60,4
"434",8,20,7,-0.00308376314041446,8,15,"day",1,0.014665763,60,4
"435",9,21,7,0.00237176449210001,9,15,"day",1,0.020340304,60,4
"436",10,22,7,0.00183149715403863,10,15,"day",1,0.019780488,60,4
"437",11,23,7,0.00461303410331165,11,15,"day",1,0.022672796,60,4
"438",12,24,7,0.00096488629446602,12,15,"day",1,0.018876126,60,4
"439",13,25,7,-0.00798430974512233,13,15,"night",1,0.009577893,60,4
"440",14,26,7,-0.00382296116360356,14,15,"night",1,0.013901925,60,4
"441",15,27,7,-0.00455597414463794,15,15,"night",1,0.013143495,60,4
"442",16,28,7,-0.00561610746715777,16,15,"night",1,0.012037796,60,4
"443",17,29,7,-0.0052168332732491,17,15,"night",1,0.012457769,60,4
"444",18,30,7,-0.00576260376000674,18,15,"night",1,0.011889353,60,4
"445",19,31,7,-0.0052135013843834,19,15,"night",1,0.012456782,60,4
"446",20,32,7,-0.00401906285529587,20,15,"night",1,0.013703417,60,4
"447",21,33,7,-0.00495799497336985,21,15,"night",1,0.012724853,60,4
"448",22,34,7,-0.00695872258404248,22,15,"night",1,0.010641905,60,4
"449",23,35,7,-0.00543564259869683,23,15,"night",1,0.012227435,60,4
"450",24,36,7,-0.00559123323425228,24,15,"night",1,0.012065712,60,4
"451",25,37,7,0.00135868251532234,25,15,"day",2,0.01929276,60,4
"452",26,38,7,-0.00290868008360834,26,15,"day",2,0.014852945,60,4
"453",27,39,7,0.00247330688500631,27,15,"day",2,0.02044901,60,4
"454",28,40,7,-0.00296017030958615,28,15,"day",2,0.014795727,60,4
"455",29,41,7,-0.000582627648785017,29,15,"day",2,0.017275153,60,4
"456",30,42,7,-0.00971957782183556,30,15,"day",2,0.007758445,60,4
"457",31,43,7,-0.000354409065994763,31,15,"day",2,0.01751458,60,4
"458",32,44,7,-0.0060972522562631,32,15,"day",2,0.01152737,60,4
"459",33,45,7,-0.00503416689036597,33,15,"day",2,0.012636396,60,4
"460",34,46,7,-0.000636708336943102,34,15,"day",2,0.01721351,60,4
"461",35,47,7,-0.0014254465691961,35,15,"day",2,0.016390476,60,4
"462",36,48,7,0.00015200681099804,36,15,"day",2,0.018036172,60,4
"463",37,49,7,-0.00717890643190693,37,15,"night",2,0.010412542,60,4
"464",38,50,7,-0.00847081330140519,38,15,"night",2,0.009073242,60,4
"465",39,51,7,-0.0157596469499784,39,15,"night",2,0.001479429,60,4
"466",40,52,7,-0.0175530940267866,40,15,"night",2,-0.000379137,60,4
"467",41,53,7,-0.0180510419844618,41,15,"night",2,-0.000897258,60,4
"468",42,54,7,-0.016346667609135,42,15,"night",2,0.00087354,60,4
"469",43,55,7,-0.0168984973395,43,15,"night",2,0.000298961,60,4
"470",44,56,7,-0.0176843965200107,44,15,"night",2,-0.000523478,60,4
"471",45,57,7,-0.018678364845485,45,15,"night",2,-0.001553104,60,4
"472",46,58,7,-0.0172740261612213,46,15,"night",2,-9.1846e-05,60,4
"473",47,59,7,-0.0169428409292613,47,15,"night",2,0.000257425,60,4
"474",48,60,7,-0.0176093142263771,48,15,"night",2,-0.000440399,60,4
"475",49,61,7,0.000460335506424498,49,15,"day",3,0.01835822,60,4
"476",50,62,7,-0.00385044195198087,50,15,"day",3,0.01386201,60,4
"477",51,63,7,-0.00915780685923667,51,15,"day",3,0.008335008,60,4
"478",52,64,7,-0.0126802740314942,52,15,"day",3,0.004673036,60,4
"479",53,65,7,-0.0114720053502771,53,15,"day",3,0.005933986,60,4
"480",54,66,7,-0.0121967158860804,54,15,"day",3,0.005182982,60,4
"481",55,67,7,-0.00367547971436255,55,15,"day",3,0.014048376,60,4
"482",56,68,7,-0.00507954722268784,56,15,"day",3,0.012588309,60,4
"483",57,69,7,-0.00569912237900522,57,15,"day",3,0.011945502,60,4
"484",58,70,7,-0.0146673441941547,58,15,"day",3,0.002602678,60,4
"485",59,71,7,-0.0141719513452043,59,15,"day",3,0.003121863,60,4
"486",60,72,7,-0.0139069686148292,60,15,"day",3,0.00339721,60,4
"487",61,73,7,-0.0560081381742594,61,15,"night",3,-0.040413468,60,4
"488",62,74,7,-0.0520202036477872,62,15,"night",3,-0.03625891,60,4
"489",63,75,7,-0.0359848985982975,63,15,"night",3,-0.019558499,60,4
"490",64,76,7,-0.0300758610264494,64,15,"night",3,-0.013409961,60,4
"491",65,77,7,-0.0315887564681202,65,15,"night",3,-0.014984578,60,4
"492",66,78,7,-0.0402594193058896,66,15,"night",3,-0.024018462,60,4
"493",67,79,7,-0.0369308735229755,67,15,"night",3,-0.020549293,60,4
"494",68,80,7,-0.0370877721766175,68,15,"night",3,-0.020712863,60,4
"495",69,81,7,-0.0356784023670557,69,15,"night",3,-0.019241687,60,4
"496",70,82,7,-0.0348557071909745,70,15,"night",3,-0.018386242,60,4
"497",71,83,7,-0.0302042820238677,71,15,"night",3,-0.013542906,60,4
"498",1,13,8,0.0144324094613859,1,0,"day",1,0.021390516,60,4
"499",2,14,8,0.00011316912908748,2,0,"day",1,0.006476243,60,4
"500",3,15,8,0.00443554428123533,3,0,"day",1,0.010971496,60,4
"501",4,16,8,0.00175935707191059,4,0,"day",1,0.008187391,60,4
"502",5,17,8,0.00145413612083331,5,0,"day",1,0.007865445,60,4
"503",6,18,8,-0.00160990161429351,6,0,"day",1,0.004683931,60,4
"504",7,19,8,0.0100676290197232,7,0,"day",1,0.016837237,60,4
"505",8,20,8,0.0149717540860557,8,0,"day",1,0.021940843,60,4
"506",9,21,8,0.00923891973604555,9,0,"day",1,0.015964537,60,4
"507",10,22,8,0.00755250950059171,10,0,"day",1,0.014215536,60,4
"508",11,23,8,0.00515185788564883,11,0,"day",1,0.011717437,60,4
"509",12,24,8,0.0056026161667337,12,0,"day",1,0.012183359,60,4
"510",13,25,8,-0.018935382061695,13,0,"night",1,-0.013337932,60,4
"511",14,26,8,-0.0152162059003074,14,0,"night",1,-0.009470948,60,4
"512",15,27,8,-0.0153394300512077,15,0,"night",1,-0.009596183,60,4
"513",16,28,8,-0.0156791615166398,16,0,"night",1,-0.009951798,60,4
"514",17,29,8,-0.0143959865927782,17,0,"night",1,-0.008614095,60,4
"515",18,30,8,-0.0144331996837012,18,0,"night",1,-0.008656487,60,4
"516",19,31,8,-0.0141592544968483,19,0,"night",1,-0.008368191,60,4
"517",20,32,8,-0.0149766401624893,20,0,"night",1,-0.009220848,60,4
"518",21,33,8,-0.0136519196602298,21,0,"night",1,-0.007841047,60,4
"519",22,34,8,-0.0144421983867448,22,0,"night",1,-0.00866405,60,4
"520",23,35,8,-0.013605324072185,23,0,"night",1,-0.007791033,60,4
"521",24,36,8,-0.0144450607372579,24,0,"night",1,-0.008670495,60,4
"522",25,37,8,0.00848334433983244,25,0,"day",2,0.015190328,60,4
"523",26,38,8,0.00878824086797058,26,0,"day",2,0.015501815,60,4
"524",27,39,8,0.0101646464132628,27,0,"day",2,0.016939847,60,4
"525",28,40,8,0.00955110750047281,28,0,"day",2,0.016297709,60,4
"526",29,41,8,0.0110737266921682,29,0,"day",2,0.01788417,60,4
"527",30,42,8,0.00707001578841007,30,0,"day",2,0.013721728,60,4
"528",31,43,8,0.000346596947394993,31,0,"day",2,0.006708237,60,4
"529",32,44,8,0.00232309497420495,32,0,"day",2,0.008772505,60,4
"530",33,45,8,0.00240535102727667,33,0,"day",2,0.008857591,60,4
"531",34,46,8,0.013034361694697,34,0,"day",2,0.019919937,60,4
"532",35,47,8,0.012587905432028,35,0,"day",2,0.019458277,60,4
"533",36,48,8,0.0175417885619921,36,0,"day",2,0.02461603,60,4
"534",37,49,8,-0.038069273644925,37,0,"night",2,-0.033265016,60,4
"535",38,50,8,-0.0374185928711023,38,0,"night",2,-0.032586703,60,4
"536",39,51,8,-0.0382511450866856,39,0,"night",2,-0.033448433,60,4
"537",40,52,8,-0.0365412360871613,40,0,"night",2,-0.031670449,60,4
"538",41,53,8,-0.0369713302907167,41,0,"night",2,-0.032119198,60,4
"539",42,54,8,-0.0366815881248968,42,0,"night",2,-0.031820493,60,4
"540",43,55,8,-0.0365032234107326,43,0,"night",2,-0.031631547,60,4
"541",44,56,8,-0.0360499629717832,44,0,"night",2,-0.031162245,60,4
"542",45,57,8,-0.0353014561265609,45,0,"night",2,-0.03037966,60,4
"543",46,58,8,-0.0364544913322286,46,0,"night",2,-0.031583541,60,4
"544",47,59,8,-0.0370367831507289,47,0,"night",2,-0.032187952,60,4
"545",48,60,8,-0.0375682718845624,48,0,"night",2,-0.032742549,60,4
"546",49,61,8,0.0120659655854,49,0,"day",3,0.018925141,60,4
"547",50,62,8,0.007994389910217,50,0,"day",3,0.014684404,60,4
"548",51,63,8,0.00376508303261211,51,0,"day",3,0.010273576,60,4
"549",52,64,8,0.00263067115457046,52,0,"day",3,0.009092971,60,4
"550",53,65,8,0.00455208286271492,53,0,"day",3,0.011094235,60,4
"551",54,66,8,0.00524615177086032,54,0,"day",3,0.01181129,60,4
"552",55,67,8,0.00588010953844976,55,0,"day",3,0.012472789,60,4
"553",56,68,8,0.00708712193097702,56,0,"day",3,0.013730855,60,4
"554",57,69,8,0.00842700116762263,57,0,"day",3,0.015125374,60,4
"555",58,70,8,0.0159404353857504,58,0,"day",3,0.022944764,60,4
"556",59,71,8,0.00966331632218323,59,0,"day",3,0.016409499,60,4
"557",60,72,8,0.01170477763409,60,0,"day",3,0.018534447,60,4
"558",61,73,8,-0.0302455167944168,61,0,"night",3,-0.025116147,60,4
"559",62,74,8,-0.0281715554811444,62,0,"night",3,-0.022956881,60,4
"560",63,75,8,-0.0262302209738364,63,0,"night",3,-0.020931956,60,4
"561",64,76,8,-0.0257699398058108,64,0,"night",3,-0.020454537,60,4
"562",65,77,8,-0.0250103360323555,65,0,"night",3,-0.019663173,60,4
"563",66,78,8,-0.0267679157618017,66,0,"night",3,-0.021494066,60,4
"564",67,79,8,-0.0249929403273224,67,0,"night",3,-0.019646296,60,4
"565",68,80,8,-0.02530916973996,68,0,"night",3,-0.019976582,60,4
"566",69,81,8,-0.0253911632174477,69,0,"night",3,-0.02006211,60,4
"567",70,82,8,-0.0254993620594245,70,0,"night",3,-0.02017538,60,4
"568",71,83,8,-0.0263653416578206,71,0,"night",3,-0.021074888,60,4
