"","X.3","Cycle","Chamber","MO2.no.Background.Correction","NA.","Hour","MO2","Treatment","Genotype","Time.of.Day","Day.of.Exp","X","X.1","X.2","Trial"
"245",29,41,4,-0.0278447826345653,4,29,-0.01585896,"High Temp",101,"day",2,NA,NA,NA,7
"246",30,42,4,0.00675345599160395,4,30,0.018393296,"High Temp",101,"day",2,NA,NA,NA,7
"247",31,43,4,-0.0172328269604345,4,31,-0.005353124,"High Temp",101,"day",2,NA,NA,NA,7
"248",32,44,4,-0.0172418579174696,4,32,-0.005362065,"High Temp",101,"day",2,NA,NA,NA,7
"249",33,45,4,-0.0202764139814602,4,33,-0.008366275,"High Temp",101,"day",2,NA,NA,NA,7
"250",34,46,4,-0.0275566469164132,4,34,-0.015573706,"High Temp",101,"day",2,NA,NA,NA,7
"251",35,47,4,-0.0179313402664072,4,35,-0.006044652,"High Temp",101,"day",2,NA,NA,NA,7
"252",36,48,4,-0.0162113471846717,4,36,-0.004341859,"High Temp",101,"day",2,NA,NA,NA,7
"253",37,49,4,-0.0362647598685008,4,37,-0.024194737,"High Temp",101,"night",2,NA,NA,NA,7
"254",38,50,4,-0.031835465672671,4,38,-0.019809736,"High Temp",101,"night",2,NA,NA,NA,7
"255",39,51,4,-0.0331655496794346,4,39,-0.021126519,"High Temp",101,"night",2,NA,NA,NA,7
"256",40,52,4,-0.0324506818971277,4,40,-0.0204188,"High Temp",101,"night",2,NA,NA,NA,7
"257",41,53,4,-0.0324018123027139,4,41,-0.020370419,"High Temp",101,"night",2,NA,NA,NA,7
"258",42,54,4,-0.0323209912146992,4,42,-0.020290406,"High Temp",101,"night",2,NA,NA,NA,7
"259",43,55,4,-0.0330793438102141,4,43,-0.021041176,"High Temp",101,"night",2,NA,NA,NA,7
"260",44,56,4,-0.0333559418946588,4,44,-0.021315008,"High Temp",101,"night",2,NA,NA,NA,7
"261",45,57,4,-0.0339133960802678,4,45,-0.021866887,"High Temp",101,"night",2,NA,NA,NA,7
"262",46,58,4,-0.0341140902279187,4,46,-0.022065575,"High Temp",101,"night",2,NA,NA,NA,7
"263",47,59,4,-0.0325300050927032,4,47,-0.02049733,"High Temp",101,"night",2,NA,NA,NA,7
"264",48,60,4,-0.0316395033083602,4,48,-0.019615733,"High Temp",101,"night",2,NA,NA,NA,7
"265",49,61,4,-0.014610063693631,4,49,-0.002756588,"High Temp",101,"day",3,NA,NA,NA,7
"266",50,62,4,-0.0262859250643428,4,50,-0.014315691,"High Temp",101,"day",3,NA,NA,NA,7
"267",51,63,4,-0.0261259146793433,4,51,-0.014157281,"High Temp",101,"day",3,NA,NA,NA,7
"268",52,64,4,-0.0245410530984039,4,52,-0.012588268,"High Temp",101,"day",3,NA,NA,NA,7
"269",53,65,4,-0.0257388560940536,4,53,-0.013774093,"High Temp",101,"day",3,NA,NA,NA,7
"270",54,66,4,-0.0327848512541468,4,54,-0.020749628,"High Temp",101,"day",3,NA,NA,NA,7
"271",55,67,4,-0.0133364878452318,4,55,-0.001495748,"High Temp",101,"day",3,NA,NA,NA,7
"272",56,68,4,-0.0188720284146132,4,56,-0.006975933,"High Temp",101,"day",3,NA,NA,NA,7
"273",57,69,4,-0.0131664478467178,4,57,-0.001327409,"High Temp",101,"day",3,NA,NA,NA,7
"274",58,70,4,-0.0196242487361155,4,58,-0.007720631,"High Temp",101,"day",3,NA,NA,NA,7
"275",59,71,4,-0.0160059278517165,4,59,-0.004138494,"High Temp",101,"day",3,NA,NA,NA,7
"276",60,72,4,-0.0217374547551942,4,60,-0.009812705,"High Temp",101,"day",3,NA,NA,NA,7
"277",61,73,4,-0.0544816747310616,4,61,-0.042229483,"High Temp",101,"night",3,NA,NA,NA,7
"278",62,74,4,-0.0488431456820699,4,62,-0.036647339,"High Temp",101,"night",3,NA,NA,NA,7
"279",63,75,4,-0.0467489890214947,4,63,-0.034574124,"High Temp",101,"night",3,NA,NA,NA,7
"280",64,76,4,-0.0487797682537597,4,64,-0.036584596,"High Temp",101,"night",3,NA,NA,NA,7
"281",65,77,4,-0.0471417337982411,4,65,-0.034962942,"High Temp",101,"night",3,NA,NA,NA,7
"282",66,78,4,-0.0471101088151095,4,66,-0.034931633,"High Temp",101,"night",3,NA,NA,NA,7
"283",67,79,4,-0.0464746012788837,4,67,-0.03430248,"High Temp",101,"night",3,NA,NA,NA,7
"284",68,80,4,-0.0469364313843177,4,68,-0.034759692,"High Temp",101,"night",3,NA,NA,NA,7
"285",69,81,4,-0.0467713568457164,4,69,-0.034596268,"High Temp",101,"night",3,NA,NA,NA,7
"286",70,82,4,-0.0473511970116796,4,70,-0.03517031,"High Temp",101,"night",3,NA,NA,NA,7
"287",71,83,4,-0.0458320201412486,4,71,-0.033666325,"High Temp",101,"night",3,NA,NA,NA,7
"288",72,84,4,-0.0452774690911819,4,72,-0.03311732,"High Temp",101,"night",3,NA,NA,NA,7
"289",1,13,5,0.00920663329254049,5,1,0.031494718,"High NTU",97,"day",1,NA,NA,NA,7
"290",2,14,5,0.0186355836154189,5,2,0.041194286,"High NTU",97,"day",1,NA,NA,NA,7
"291",3,15,5,0.0146898362585186,5,3,0.037135293,"High NTU",97,"day",1,NA,NA,NA,7
"292",4,16,5,0.00227597939506697,5,4,0.02436515,"High NTU",97,"day",1,NA,NA,NA,7
"293",5,17,5,0.00201664071810056,5,5,0.024098368,"High NTU",97,"day",1,NA,NA,NA,7
"294",6,18,5,0.00778347714219812,5,6,0.030030716,"High NTU",97,"day",1,NA,NA,NA,7
"295",7,19,5,0.00930757441989004,5,7,0.031598556,"High NTU",97,"day",1,NA,NA,NA,7
"296",8,20,5,-0.00175187680991643,5,8,0.020221691,"High NTU",97,"day",1,NA,NA,NA,7
"297",9,21,5,0.00430522745055318,5,9,0.026452638,"High NTU",97,"day",1,NA,NA,NA,7
"298",10,22,5,0.000274594452661296,5,10,0.022306323,"High NTU",97,"day",1,NA,NA,NA,7
"299",11,23,5,0.0126894583359718,5,11,0.035077503,"High NTU",97,"day",1,NA,NA,NA,7
"300",12,24,5,0.00823689748530041,5,12,0.03049715,"High NTU",97,"day",1,NA,NA,NA,7
"301",13,25,5,-0.014256780135886,5,13,0.007357888,"High NTU",97,"night",1,NA,NA,NA,7
"302",14,26,5,-0.00991509468282136,5,14,0.011824183,"High NTU",97,"night",1,NA,NA,NA,7
"303",15,27,5,-0.0115962918701721,5,15,0.010094734,"High NTU",97,"night",1,NA,NA,NA,7
"304",16,28,5,-0.0103309525702268,5,16,0.01139639,"High NTU",97,"night",1,NA,NA,NA,7
"305",17,29,5,-0.0203676441605645,5,17,0.001071638,"High NTU",97,"night",1,NA,NA,NA,7
"306",18,30,5,-0.0102772621368636,5,18,0.011451621,"High NTU",97,"night",1,NA,NA,NA,7
"307",19,31,5,-0.0178562315065176,5,19,0.00365513,"High NTU",97,"night",1,NA,NA,NA,7
"308",20,32,5,-0.0119048497246377,5,20,0.00977732,"High NTU",97,"night",1,NA,NA,NA,7
"309",21,33,5,-0.0135104188038643,5,21,0.00812567,"High NTU",97,"night",1,NA,NA,NA,7
"310",22,34,5,-0.0179643170138069,5,22,0.003543942,"High NTU",97,"night",1,NA,NA,NA,7
"311",23,35,5,-0.0082016782983,5,23,0.013586776,"High NTU",97,"night",1,NA,NA,NA,7
"312",24,36,5,-0.0170617286859131,5,24,0.004472435,"High NTU",97,"night",1,NA,NA,NA,7
"313",25,37,5,-0.00116593708959022,5,25,0.020824448,"High NTU",97,"day",2,NA,NA,NA,7
"314",26,38,5,-0.00465225982436391,5,26,0.017238065,"High NTU",97,"day",2,NA,NA,NA,7
"315",27,39,5,-0.00340056409457826,5,27,0.018525685,"High NTU",97,"day",2,NA,NA,NA,7
"316",28,40,5,0.00674871703090595,5,28,0.028966258,"High NTU",97,"day",2,NA,NA,NA,7
"317",29,41,5,-0.00470083962056102,5,29,0.017188091,"High NTU",97,"day",2,NA,NA,NA,7
"318",30,42,5,0.00160215939677311,5,30,0.02367199,"High NTU",97,"day",2,NA,NA,NA,7
"319",31,43,5,0.00124147089637484,5,31,0.02330095,"High NTU",97,"day",2,NA,NA,NA,7
"320",32,44,5,-0.00311850377754965,5,32,0.018815841,"High NTU",97,"day",2,NA,NA,NA,7
"321",33,45,5,-0.0123618973095333,5,33,0.009307155,"High NTU",97,"day",2,NA,NA,NA,7
"322",34,46,5,-0.0110525512304218,5,34,0.010654081,"High NTU",97,"day",2,NA,NA,NA,7
"323",35,47,5,-0.0105355190817999,5,35,0.011185952,"High NTU",97,"day",2,NA,NA,NA,7
"324",36,48,5,-0.00722091159759028,5,36,0.014595691,"High NTU",97,"day",2,NA,NA,NA,7
"325",37,49,5,-0.0204233184811313,5,37,0.001014366,"High NTU",97,"night",2,NA,NA,NA,7
"326",38,50,5,-0.0230088102469972,5,38,-0.001645332,"High NTU",97,"night",2,NA,NA,NA,7
"327",39,51,5,-0.0170091086809469,5,39,0.004526566,"High NTU",97,"night",2,NA,NA,NA,7
"328",40,52,5,-0.0223637201539582,5,40,-0.000981727,"High NTU",97,"night",2,NA,NA,NA,7
"329",41,53,5,-0.0276741708963129,5,41,-0.006444592,"High NTU",97,"night",2,NA,NA,NA,7
"330",42,54,5,-0.0211214175152155,5,42,0.000296231,"High NTU",97,"night",2,NA,NA,NA,7
"331",43,55,5,-0.0315533910500376,5,43,-0.010435148,"High NTU",97,"night",2,NA,NA,NA,7
"332",44,56,5,-0.0238172000502461,5,44,-0.002476923,"High NTU",97,"night",2,NA,NA,NA,7
"333",45,57,5,-0.0259671179445274,5,45,-0.004688545,"High NTU",97,"night",2,NA,NA,NA,7
"334",46,58,5,-0.0213794120848977,5,46,3.08314e-05,"High NTU",97,"night",2,NA,NA,NA,7
"335",47,59,5,-0.0287919536846376,5,47,-0.007594455,"High NTU",97,"night",2,NA,NA,NA,7
"336",48,60,5,-0.0272493940440426,5,48,-0.006007623,"High NTU",97,"night",2,NA,NA,NA,7
"337",49,61,5,-0.0216231797372463,5,49,-0.000219933,"High NTU",97,"day",3,NA,NA,NA,7
"338",50,62,5,-0.0236591463645415,5,50,-0.002314333,"High NTU",97,"day",3,NA,NA,NA,7
"339",51,63,5,-0.019800988693981,5,51,0.001654557,"High NTU",97,"day",3,NA,NA,NA,7
"340",52,64,5,-0.0160236174603599,5,52,0.005540341,"High NTU",97,"day",3,NA,NA,NA,7
"341",53,65,5,-0.0143244497462583,5,53,0.007288276,"High NTU",97,"day",3,NA,NA,NA,7
"342",54,66,5,-0.00101633789479274,5,54,0.02097834,"High NTU",97,"day",3,NA,NA,NA,7
"343",55,67,5,-0.00462907732636793,5,55,0.017261913,"High NTU",97,"day",3,NA,NA,NA,7
"344",56,68,5,-0.0152941171907215,5,56,0.006290779,"High NTU",97,"day",3,NA,NA,NA,7
"345",57,69,5,-0.00615213563791532,5,57,0.015695142,"High NTU",97,"day",3,NA,NA,NA,7
"346",58,70,5,-0.00591607045745968,5,58,0.015937982,"High NTU",97,"day",3,NA,NA,NA,7
"347",59,71,5,-0.00831075126475255,5,59,0.013474572,"High NTU",97,"day",3,NA,NA,NA,7
"348",60,72,5,-0.00929158051982262,5,60,0.012465592,"High NTU",97,"day",3,NA,NA,NA,7
"349",61,73,5,-0.0152730429768352,5,61,0.006312458,"High NTU",97,"night",3,NA,NA,NA,7
"350",62,74,5,-0.0127242979259143,5,62,0.008934354,"High NTU",97,"night",3,NA,NA,NA,7
"351",63,75,5,-0.0133015767287907,5,63,0.008340506,"High NTU",97,"night",3,NA,NA,NA,7
"352",64,76,5,-0.0111197681545041,5,64,0.010584934,"High NTU",97,"night",3,NA,NA,NA,7
"353",65,77,5,-0.0139607154435746,5,65,0.00766245,"High NTU",97,"night",3,NA,NA,NA,7
"354",66,78,5,-0.0190438181848326,5,66,0.002433458,"High NTU",97,"night",3,NA,NA,NA,7
"355",67,79,5,-0.00802346906800635,5,67,0.0137701,"High NTU",97,"night",3,NA,NA,NA,7
"356",68,80,5,-0.0225404718704968,5,68,-0.001163552,"High NTU",97,"night",3,NA,NA,NA,7
"357",69,81,5,-0.019024497486128,5,69,0.002453334,"High NTU",97,"night",3,NA,NA,NA,7
"358",70,82,5,-0.00737276790291666,5,70,0.014439476,"High NTU",97,"night",3,NA,NA,NA,7
"359",71,83,5,-0.0240762797971458,5,71,-0.002743438,"High NTU",97,"night",3,NA,NA,NA,7
"360",72,84,5,-0.0176356147190767,5,72,0.003882078,"High NTU",97,"night",3,NA,NA,NA,7
"361",1,13,6,0.0111115605100277,6,1,0.025311247,"Control",97,"day",1,NA,NA,NA,7
"362",2,14,6,0.0112172456685628,6,2,0.025420151,"Control",97,"day",1,NA,NA,NA,7
"363",3,15,6,0.0145383629089317,6,3,0.028842406,"Control",97,"day",1,NA,NA,NA,7
"364",4,16,6,0.00167976574148603,6,4,0.015592224,"Control",97,"day",1,NA,NA,NA,7
"365",5,17,6,0.0120705715032203,6,5,0.026299463,"Control",97,"day",1,NA,NA,NA,7
"366",6,18,6,0.015819831879431,6,6,0.0301629,"Control",97,"day",1,NA,NA,NA,7
"367",7,19,6,0.0188144345716352,6,7,0.033248698,"Control",97,"day",1,NA,NA,NA,7
"368",8,20,6,0.00833607857105611,6,8,0.022451243,"Control",97,"day",1,NA,NA,NA,7
"369",9,21,6,0.00761360769412585,6,9,0.02170677,"Control",97,"day",1,NA,NA,NA,7
"370",10,22,6,0.00375456376082503,6,10,0.017730206,"Control",97,"day",1,NA,NA,NA,7
"371",11,23,6,0.0127565399234136,6,11,0.027006321,"Control",97,"day",1,NA,NA,NA,7
"372",12,24,6,0.00715051330545678,6,12,0.021229573,"Control",97,"day",1,NA,NA,NA,7
"373",13,25,6,-0.0311414495181022,6,13,-0.018228502,"Control",97,"night",1,NA,NA,NA,7
"374",14,26,6,-0.024210457562122,6,14,-0.011086439,"Control",97,"night",1,NA,NA,NA,7
"375",15,27,6,-0.0231622059709365,6,15,-0.010006265,"Control",97,"night",1,NA,NA,NA,7
"376",16,28,6,-0.0227680302422506,6,16,-0.009600085,"Control",97,"night",1,NA,NA,NA,7
"377",17,29,6,-0.0271417246256296,6,17,-0.014106973,"Control",97,"night",1,NA,NA,NA,7
"378",18,30,6,-0.0218372330690907,6,18,-0.008640942,"Control",97,"night",1,NA,NA,NA,7
"379",19,31,6,-0.027695646821904,6,19,-0.014677764,"Control",97,"night",1,NA,NA,NA,7
"380",20,32,6,-0.0262247550737233,6,20,-0.013162078,"Control",97,"night",1,NA,NA,NA,7
"381",21,33,6,-0.0316824532311364,6,21,-0.018785981,"Control",97,"night",1,NA,NA,NA,7
"382",22,34,6,-0.0386684365122416,6,22,-0.02598471,"Control",97,"night",1,NA,NA,NA,7
"383",23,35,6,-0.0313086940956107,6,23,-0.01840084,"Control",97,"night",1,NA,NA,NA,7
"384",24,36,6,-0.0391973859266084,6,24,-0.026529767,"Control",97,"night",1,NA,NA,NA,7
"385",25,37,6,0.00288074944090646,6,25,0.016829781,"Control",97,"day",2,NA,NA,NA,7
"386",26,38,6,0.00184485038249751,6,26,0.015762336,"Control",97,"day",2,NA,NA,NA,7
"387",27,39,6,0.00195161187053363,6,27,0.015872349,"Control",97,"day",2,NA,NA,NA,7
"388",28,40,6,0.00994095748672098,6,28,0.024104995,"Control",97,"day",2,NA,NA,NA,7
"389",29,41,6,-0.00162391519480081,6,29,0.012187935,"Control",97,"day",2,NA,NA,NA,7
"390",30,42,6,0.00302885504309453,6,30,0.016982397,"Control",97,"day",2,NA,NA,NA,7
"391",31,43,6,0.00496716792480073,6,31,0.018979738,"Control",97,"day",2,NA,NA,NA,7
"392",32,44,6,0.000470942128510885,6,32,0.014346588,"Control",97,"day",2,NA,NA,NA,7
"393",33,45,6,-0.00546725646636468,6,33,0.008227552,"Control",97,"day",2,NA,NA,NA,7
"394",34,46,6,-0.00317259152393434,6,34,0.010592097,"Control",97,"day",2,NA,NA,NA,7
"395",35,47,6,0.000139965879724214,6,35,0.014005532,"Control",97,"day",2,NA,NA,NA,7
"396",36,48,6,-0.00192031461188729,6,36,0.01188251,"Control",97,"day",2,NA,NA,NA,7
"397",37,49,6,-0.0177421046861238,6,37,-0.004421104,"Control",97,"night",2,NA,NA,NA,7
"398",38,50,6,-0.017218023724669,6,38,-0.003881063,"Control",97,"night",2,NA,NA,NA,7
"399",39,51,6,-0.0113496535004443,6,39,0.002166017,"Control",97,"night",2,NA,NA,NA,7
"400",40,52,6,-0.0176174707692717,6,40,-0.004292675,"Control",97,"night",2,NA,NA,NA,7
"401",41,53,6,-0.0170288363321776,6,41,-0.003686115,"Control",97,"night",2,NA,NA,NA,7
"402",42,54,6,-0.0107245640654223,6,42,0.002810143,"Control",97,"night",2,NA,NA,NA,7
"403",43,55,6,-0.018332759236378,6,43,-0.005029746,"Control",97,"night",2,NA,NA,NA,7
"404",44,56,6,-0.0162407858767497,6,44,-0.002874066,"Control",97,"night",2,NA,NA,NA,7
"405",45,57,6,-0.0160725920992168,6,45,-0.00270075,"Control",97,"night",2,NA,NA,NA,7
"406",46,58,6,-0.0164097422402595,6,46,-0.003048167,"Control",97,"night",2,NA,NA,NA,7
"407",47,59,6,-0.0198908173296049,6,47,-0.006635252,"Control",97,"night",2,NA,NA,NA,7
"408",48,60,6,-0.0157382719252351,6,48,-0.002356248,"Control",97,"night",2,NA,NA,NA,7
"409",49,61,6,-0.0051275343871964,6,49,0.00857762,"Control",97,"day",3,NA,NA,NA,7
"410",50,62,6,-0.00801380918822804,6,50,0.005603449,"Control",97,"day",3,NA,NA,NA,7
"411",51,63,6,-0.00468046275071826,6,51,0.009038306,"Control",97,"day",3,NA,NA,NA,7
"412",52,64,6,-0.00374280729063553,6,52,0.010004516,"Control",97,"day",3,NA,NA,NA,7
"413",53,65,6,-0.0131174582897965,6,53,0.000344377,"Control",97,"day",3,NA,NA,NA,7
"414",54,66,6,-0.00738205385460388,6,54,0.006254443,"Control",97,"day",3,NA,NA,NA,7
"415",55,67,6,-0.00320777730296719,6,55,0.01055584,"Control",97,"day",3,NA,NA,NA,7
"416",56,68,6,0.00847614674133293,6,56,0.022595576,"Control",97,"day",3,NA,NA,NA,7
"417",57,69,6,0.00732791676416507,6,57,0.021412379,"Control",97,"day",3,NA,NA,NA,7
"418",58,70,6,-0.00821127094876199,6,58,0.005399974,"Control",97,"day",3,NA,NA,NA,7
"419",59,71,6,-0.0113015667518798,6,59,0.002215568,"Control",97,"day",3,NA,NA,NA,7
"420",60,72,6,-0.0180586561773413,6,60,-0.004747296,"Control",97,"day",3,NA,NA,NA,7
"421",61,73,6,-0.0532722305387841,6,61,-0.041033236,"Control",97,"night",3,NA,NA,NA,7
"422",62,74,6,-0.051475779145155,6,62,-0.039182077,"Control",97,"night",3,NA,NA,NA,7
"423",63,75,6,-0.0516403948053352,6,63,-0.039351705,"Control",97,"night",3,NA,NA,NA,7
"424",64,76,6,-0.0479764987233773,6,64,-0.035576232,"Control",97,"night",3,NA,NA,NA,7
"425",65,77,6,-0.051942206459264,6,65,-0.039662708,"Control",97,"night",3,NA,NA,NA,7
"426",66,78,6,-0.0523142703680709,6,66,-0.040046103,"Control",97,"night",3,NA,NA,NA,7
"427",67,79,6,-0.0452949064128875,6,67,-0.032812977,"Control",97,"night",3,NA,NA,NA,7
"428",68,80,6,-0.0548228879212139,6,68,-0.042631116,"Control",97,"night",3,NA,NA,NA,7
"429",69,81,6,-0.0521351750469939,6,69,-0.039861553,"Control",97,"night",3,NA,NA,NA,7
"430",70,82,6,-0.0463050920074768,6,70,-0.033853926,"Control",97,"night",3,NA,NA,NA,7
"431",71,83,6,-0.0565148199631998,6,71,-0.044374572,"Control",97,"night",3,NA,NA,NA,7
"432",72,84,6,-0.0514770405854825,6,72,-0.039183377,"Control",97,"night",3,NA,NA,NA,7
"433",1,13,7,0.00450037577270811,7,1,0.02986918,"High NTU",101,"day",1,NA,NA,NA,7
"434",2,14,7,0.00549646407814922,7,2,0.030904348,"High NTU",101,"day",1,NA,NA,NA,7
"435",3,15,7,0.0131618299945618,7,3,0.03887045,"High NTU",101,"day",1,NA,NA,NA,7
"436",4,16,7,0.00573509855149777,7,4,0.031152345,"High NTU",101,"day",1,NA,NA,NA,7
"437",5,17,7,0.00544033564794175,7,5,0.030846018,"High NTU",101,"day",1,NA,NA,NA,7
"438",6,18,7,0.0120776923812027,7,6,0.037743778,"High NTU",101,"day",1,NA,NA,NA,7
"439",7,19,7,0.0122424529718744,7,7,0.037915003,"High NTU",101,"day",1,NA,NA,NA,7
"440",8,20,7,-0.00521935665808842,7,8,0.019768113,"High NTU",101,"day",1,NA,NA,NA,7
"441",9,21,7,-0.0102821678727278,7,9,0.014506672,"High NTU",101,"day",1,NA,NA,NA,7
"442",10,22,7,-0.00916506264005866,7,10,0.015667605,"High NTU",101,"day",1,NA,NA,NA,7
"443",11,23,7,0.00323004709867083,7,11,0.028549013,"High NTU",101,"day",1,NA,NA,NA,7
"444",12,24,7,0.00331047942460427,7,12,0.028632601,"High NTU",101,"day",1,NA,NA,NA,7
"445",13,25,7,-0.0136713086266719,7,13,0.010984565,"High NTU",101,"night",1,NA,NA,NA,7
"446",14,26,7,-0.012086904100509,7,14,0.01263113,"High NTU",101,"night",1,NA,NA,NA,7
"447",15,27,7,-0.0142858577958866,7,15,0.010345905,"High NTU",101,"night",1,NA,NA,NA,7
"448",16,28,7,-0.0151115206048702,7,16,0.009487849,"High NTU",101,"night",1,NA,NA,NA,7
"449",17,29,7,-0.0150313971290726,7,17,0.009571116,"High NTU",101,"night",1,NA,NA,NA,7
"450",18,30,7,-0.0150155713424071,7,18,0.009587563,"High NTU",101,"night",1,NA,NA,NA,7
"451",19,31,7,-0.0150290927880303,7,19,0.009573511,"High NTU",101,"night",1,NA,NA,NA,7
"452",20,32,7,-0.0153864427651353,7,20,0.009202141,"High NTU",101,"night",1,NA,NA,NA,7
"453",21,33,7,-0.0144810890417928,7,21,0.010143014,"High NTU",101,"night",1,NA,NA,NA,7
"454",22,34,7,-0.015437386832334,7,22,0.009149198,"High NTU",101,"night",1,NA,NA,NA,7
"455",23,35,7,-0.0147545959587051,7,23,0.009858777,"High NTU",101,"night",1,NA,NA,NA,7
"456",24,36,7,-0.015259458265965,7,24,0.009334107,"High NTU",101,"night",1,NA,NA,NA,7
"457",25,37,7,-0.00232240508091952,7,25,0.022778721,"High NTU",101,"day",2,NA,NA,NA,7
"458",26,38,7,-0.00687348926363818,7,26,0.018049084,"High NTU",101,"day",2,NA,NA,NA,7
"459",27,39,7,-0.00507972512799784,7,27,0.019913223,"High NTU",101,"day",2,NA,NA,NA,7
"460",28,40,7,0.000566994113064945,7,28,0.02578148,"High NTU",101,"day",2,NA,NA,NA,7
"461",29,41,7,-0.00657375130099441,7,29,0.018360581,"High NTU",101,"day",2,NA,NA,NA,7
"462",30,42,7,-0.00300717688931875,7,30,0.022067083,"High NTU",101,"day",2,NA,NA,NA,7
"463",31,43,7,-0.00230424983674078,7,31,0.022797588,"High NTU",101,"day",2,NA,NA,NA,7
"464",32,44,7,-0.00627973212404005,7,32,0.018666136,"High NTU",101,"day",2,NA,NA,NA,7
"465",33,45,7,-0.0117832612877871,7,33,0.012946686,"High NTU",101,"day",2,NA,NA,NA,7
"466",34,46,7,-0.0200538878459121,7,34,0.004351577,"High NTU",101,"day",2,NA,NA,NA,7
"467",35,47,7,-0.0110621165169806,7,35,0.013696124,"High NTU",101,"day",2,NA,NA,NA,7
"468",36,48,7,-0.00830084627064117,7,36,0.016565727,"High NTU",101,"day",2,NA,NA,NA,7
"469",37,49,7,-0.021688072963169,7,37,0.002653278,"High NTU",101,"night",2,NA,NA,NA,7
"470",38,50,7,-0.0179807869180283,7,38,0.006506012,"High NTU",101,"night",2,NA,NA,NA,7
"471",39,51,7,-0.01635329679898,7,39,0.008197354,"High NTU",101,"night",2,NA,NA,NA,7
"472",40,52,7,-0.0172462578273805,7,40,0.007269359,"High NTU",101,"night",2,NA,NA,NA,7
"473",41,53,7,-0.0195443727758924,7,41,0.004881082,"High NTU",101,"night",2,NA,NA,NA,7
"474",42,54,7,-0.0164789751782508,7,42,0.008066745,"High NTU",101,"night",2,NA,NA,NA,7
"475",43,55,7,-0.0186309709679111,7,43,0.00583032,"High NTU",101,"night",2,NA,NA,NA,7
"476",44,56,7,-0.0162299454353424,7,44,0.008325545,"High NTU",101,"night",2,NA,NA,NA,7
"477",45,57,7,-0.0189490861637416,7,45,0.005499724,"High NTU",101,"night",2,NA,NA,NA,7
"478",46,58,7,-0.0179807416639832,7,46,0.006506059,"High NTU",101,"night",2,NA,NA,NA,7
"479",47,59,7,-0.0198005428269612,7,47,0.004614862,"High NTU",101,"night",2,NA,NA,NA,7
"480",48,60,7,-0.0182701280889017,7,48,0.00620532,"High NTU",101,"night",2,NA,NA,NA,7
"481",49,61,7,-0.00767484862087351,7,49,0.017216284,"High NTU",101,"day",3,NA,NA,NA,7
"482",50,62,7,-0.0154499784294279,7,50,0.009136112,"High NTU",101,"day",3,NA,NA,NA,7
"483",51,63,7,-0.0174923478967058,7,51,0.007013614,"High NTU",101,"day",3,NA,NA,NA,7
"484",52,64,7,-0.0143932364161353,7,52,0.010234314,"High NTU",101,"day",3,NA,NA,NA,7
"485",53,65,7,-0.0161257168708318,7,53,0.008433863,"High NTU",101,"day",3,NA,NA,NA,7
"486",54,66,7,-0.0144666835090879,7,54,0.010157985,"High NTU",101,"day",3,NA,NA,NA,7
"487",55,67,7,-0.0163849178329663,7,55,0.008164492,"High NTU",101,"day",3,NA,NA,NA,7
"488",56,68,7,-0.0319061526092509,7,56,-0.007965688,"High NTU",101,"day",3,NA,NA,NA,7
"489",57,69,7,-0.0269445198935752,7,57,-0.002809395,"High NTU",101,"day",3,NA,NA,NA,7
"490",58,70,7,-0.0294960175674573,7,58,-0.005460996,"High NTU",101,"day",3,NA,NA,NA,7
"491",59,71,7,-0.0244781364840843,7,59,-0.000246248,"High NTU",101,"day",3,NA,NA,NA,7
"492",60,72,7,-0.0220433483578551,7,60,0.002284064,"High NTU",101,"day",3,NA,NA,NA,7
"493",61,73,7,-0.0507558015240958,7,61,-0.027554867,"High NTU",101,"night",3,NA,NA,NA,7
"494",62,74,7,-0.045796723838478,7,62,-0.022401229,"High NTU",101,"night",3,NA,NA,NA,7
"495",63,75,7,-0.0456031140002877,7,63,-0.022200023,"High NTU",101,"night",3,NA,NA,NA,7
"496",64,76,7,-0.0462438994161191,7,64,-0.022865949,"High NTU",101,"night",3,NA,NA,NA,7
"497",65,77,7,-0.0470201022178484,7,65,-0.023672604,"High NTU",101,"night",3,NA,NA,NA,7
"498",66,78,7,-0.0441747608017542,7,66,-0.020715631,"High NTU",101,"night",3,NA,NA,NA,7
"499",67,79,7,-0.0452871410300985,7,67,-0.021871654,"High NTU",101,"night",3,NA,NA,NA,7
"500",68,80,7,-0.0466955061797765,7,68,-0.023335273,"High NTU",101,"night",3,NA,NA,NA,7
"501",69,81,7,-0.0455423994040235,7,69,-0.022136927,"High NTU",101,"night",3,NA,NA,NA,7
"502",70,82,7,-0.0466293581805498,7,70,-0.02326653,"High NTU",101,"night",3,NA,NA,NA,7
"503",71,83,7,-0.0433432416056093,7,71,-0.019851489,"High NTU",101,"night",3,NA,NA,NA,7
"504",72,84,7,-0.0432742584579075,7,72,-0.0197798,"High NTU",101,"night",3,NA,NA,NA,7
"505",1,13,8,0.00355409878584363,8,1,0.022071225,"Control",101,"day",1,NA,NA,NA,7
"506",2,14,8,0.0166078452858148,8,2,0.035636882,"Control",101,"day",1,NA,NA,NA,7
"507",3,15,8,0.00288202271192416,8,3,0.021372794,"Control",101,"day",1,NA,NA,NA,7
"508",4,16,8,0.00202336266980701,8,4,0.020480461,"Control",101,"day",1,NA,NA,NA,7
