"","X","AutoResp.Cycle.Loop","Chamber","MO2.no.Background.Correction","Hour","MO2","Treatment","Genotype","Time.of.Day","Day.of.Exp","Trial"
"318",30,45,5,-0.00129417854796861,33,0.018285358,"29 NTU",80,"day ",2,9
"319",31,46,5,-0.00279201144318018,34,0.016732021,"29 NTU",80,"day",2,9
"320",32,48,5,-0.00548405903351565,36,0.013929568,"29 NTU",80,"day",2,9
"321",33,49,5,-0.0183526380319529,37,0.000538423,"29 NTU",80,"night ",2,9
"322",34,50,5,-0.0245891033390616,38,-0.005947122,"29 NTU",80,"night ",2,9
"323",35,51,5,-0.0177990655060843,39,0.001115592,"29 NTU",80,"night ",2,9
"324",36,52,5,-0.0273960597062427,40,-0.008871319,"29 NTU",80,"night ",2,9
"325",37,53,5,-0.0205904104446816,41,-0.001788495,"29 NTU",80,"night ",2,9
"326",38,54,5,-0.0284122619676077,42,-0.009936922,"29 NTU",80,"night ",2,9
"327",39,55,5,-0.0255629341935913,43,-0.006966378,"29 NTU",80,"night ",2,9
"328",40,56,5,-0.0210088525626239,44,-0.002230053,"29 NTU",80,"night ",2,9
"329",41,57,5,-0.0258219193425311,45,-0.007236454,"29 NTU",80,"night ",2,9
"330",42,58,5,-0.0221540310334036,46,-0.00341844,"29 NTU",80,"night ",2,9
"331",43,59,5,-0.02694078781603,47,-0.008398489,"29 NTU",80,"night ",2,9
"332",44,60,5,-0.0260146684342578,48,-0.007439672,"29 NTU",80,"night ",2,9
"333",45,61,5,-0.004338499477372,49,0.015120515,"29 NTU",80,"day ",3,9
"334",46,62,5,-0.0057808927382797,50,0.013615701,"29 NTU",80,"day",3,9
"335",47,63,5,-0.00473902011854544,51,0.014690711,"29 NTU",80,"day ",3,9
"336",48,64,5,-0.00755793526751362,52,0.011760973,"29 NTU",80,"day",3,9
"337",49,65,5,-0.0130187598523293,53,0.006077437,"29 NTU",80,"day ",3,9
"338",50,66,5,-0.0067844403741354,54,0.012571554,"29 NTU",80,"day",3,9
"339",51,67,5,-0.00197869945566222,55,0.01757653,"29 NTU",80,"day ",3,9
"340",52,68,5,-0.00640243560319827,56,0.012972207,"29 NTU",80,"day",3,9
"341",53,69,5,-0.00793276041607389,57,0.011378439,"29 NTU",80,"day ",3,9
"342",54,70,5,-0.0195282172551334,58,-0.000695238,"29 NTU",80,"day",3,9
"343",55,71,5,-0.0193946366844124,59,-0.000557646,"29 NTU",80,"day ",3,9
"344",56,72,5,-0.00628850729017396,60,0.01309592,"29 NTU",80,"day",3,9
"345",57,73,5,-0.0113981195967576,61,0.007780941,"29 NTU",80,"night",3,9
"346",58,74,5,-0.0103054536388274,62,0.008920114,"29 NTU",80,"night",3,9
"347",59,75,5,-0.0198676395943323,63,-0.001037168,"29 NTU",80,"night",3,9
"348",60,76,5,-0.0110963352641473,64,0.008091896,"29 NTU",80,"night",3,9
"349",61,77,5,-0.0273809696847838,65,-0.008859712,"29 NTU",80,"night",3,9
"350",62,78,5,-0.0302453517671818,66,-0.011834653,"29 NTU",80,"night",3,9
"351",63,79,5,-0.0271064007149718,67,-0.008572052,"29 NTU",80,"night",3,9
"352",64,80,5,-0.0284229781930632,68,-0.009936067,"29 NTU",80,"night",3,9
"353",65,81,5,-0.0285843124484253,69,-0.010107126,"29 NTU",80,"night",3,9
"354",66,82,5,-0.0297982798621137,70,-0.011375261,"29 NTU",80,"night",3,9
"355",67,83,5,-0.0247476722758519,71,-0.006112042,"29 NTU",80,"night",3,9
"356",68,84,5,-0.0318383153961641,72,-0.013492386,"29 NTU",80,"night",3,9
"357",1,13,6,-0.00736719355396744,1,0.019835834,"50 NTU",80,"day",1,9
"358",2,14,6,-0.00439277567264195,2,0.022941113,"50 NTU",80,"day",1,9
"359",3,15,6,-0.00700286307111419,3,0.020218165,"50 NTU",80,"day",1,9
"360",4,16,6,-0.0044971814254535,4,0.022821109,"50 NTU",80,"day",1,9
"361",5,17,6,-0.0118522377718206,5,0.015149604,"50 NTU",80,"day",1,9
"362",6,18,6,-0.0100526947741538,6,0.017035692,"50 NTU",80,"day",1,9
"363",7,19,6,-0.00477462567910413,7,0.022533487,"50 NTU",80,"day",1,9
"364",8,20,6,-0.00280200952782652,8,0.024598747,"50 NTU",80,"day",1,9
"365",9,21,6,-0.0031803149110785,9,0.024190216,"50 NTU",80,"day",1,9
"366",10,22,6,-0.0147486259617591,10,0.012138773,"50 NTU",80,"day",1,9
"367",11,23,6,0.00151387578919892,11,0.029100879,"50 NTU",80,"day",1,9
"368",12,24,6,-0.0198562628294906,12,0.006814703,"50 NTU",80,"day",1,9
"369",13,25,6,-0.0336243585619178,13,-0.007538663,"50 NTU",80,"night",1,9
"370",14,26,6,-0.036598509231865,14,-0.010645052,"50 NTU",80,"night",1,9
"371",15,27,6,-0.0358634115284809,15,-0.009863864,"50 NTU",80,"night",1,9
"372",16,28,6,-0.0280220958983271,16,-0.001693582,"50 NTU",80,"night",1,9
"373",17,29,6,-0.0369089060804164,17,-0.010953612,"50 NTU",80,"night",1,9
"374",18,30,6,-0.0313666375544722,18,-0.005177584,"50 NTU",80,"night",1,9
"375",19,31,6,-0.0402298350116078,19,-0.014431023,"50 NTU",80,"night",1,9
"376",20,32,6,-0.0336599056720913,20,-0.007574358,"50 NTU",80,"night",1,9
"377",21,33,6,-0.0308525019219198,21,-0.004642706,"50 NTU",80,"night",1,9
"378",22,34,6,-0.0383823039068622,22,-0.012489408,"50 NTU",80,"night",1,9
"379",23,35,6,-0.0302135661952492,23,-0.003978597,"50 NTU",80,"night",1,9
"380",24,36,6,-0.0434424469878325,24,-0.017783432,"50 NTU",80,"night",1,9
"381",25,37,6,-0.00333648470884029,25,0.024038796,"50 NTU",80,"day ",2,9
"382",26,38,6,0.0039487572299592,26,0.031631175,"50 NTU",80,"day",2,9
"383",27,39,6,-0.0109853525833545,27,0.016054523,"50 NTU",80,"day ",2,9
"384",28,41,6,-0.0156202728261926,29,0.011230792,"50 NTU",80,"day ",2,9
"385",29,43,6,-0.007285619150517,31,0.019917728,"50 NTU",80,"day ",2,9
"386",30,46,6,-0.00397679132288361,34,0.023364228,"50 NTU",80,"day",2,9
"387",31,48,6,-0.00535416687956285,36,0.021934066,"50 NTU",80,"day",2,9
"388",32,49,6,-0.00371262814412084,37,0.023648516,"50 NTU",80,"night ",2,9
"389",33,50,6,-0.0138906228712314,38,0.013048012,"50 NTU",80,"night ",2,9
"390",34,51,6,-0.00446464644088689,39,0.022866791,"50 NTU",80,"night ",2,9
"391",35,52,6,-0.0175631405793113,40,0.009213228,"50 NTU",80,"night ",2,9
"392",36,53,6,-0.0103372955361444,41,0.016742401,"50 NTU",80,"night ",2,9
"393",37,54,6,-0.0299871499261203,42,-0.003772549,"50 NTU",80,"night ",2,9
"394",38,55,6,-0.0417587363318012,43,-0.016021172,"50 NTU",80,"night ",2,9
"395",39,56,6,-0.0337471914447991,44,-0.007677738,"50 NTU",80,"night ",2,9
"396",40,57,6,-0.0410589523803047,45,-0.015290145,"50 NTU",80,"night ",2,9
"397",41,58,6,-0.0351308732729478,46,-0.009110064,"50 NTU",80,"night ",2,9
"398",42,59,6,-0.0442823105663021,47,-0.018649714,"50 NTU",80,"night ",2,9
"399",43,60,6,-0.0304524831114404,48,-0.004207232,"50 NTU",80,"night ",2,9
"400",44,61,6,-0.00270144439806102,49,0.024689455,"50 NTU",80,"day ",3,9
"401",45,62,6,0.000846234653584981,50,0.028394695,"50 NTU",80,"day",3,9
"402",46,63,6,-0.0064643819999853,51,0.020748308,"50 NTU",80,"day ",3,9
"403",47,64,6,0.00197893352940467,52,0.029562702,"50 NTU",80,"day",3,9
"404",48,65,6,-0.00585123522199678,53,0.02140332,"50 NTU",80,"day ",3,9
"405",49,66,6,-0.00882024510872128,54,0.018308092,"50 NTU",80,"day",3,9
"406",50,67,6,-0.00250010933175878,55,0.02490574,"50 NTU",80,"day ",3,9
"407",51,68,6,-0.0103158847431303,56,0.016757838,"50 NTU",80,"day",3,9
"408",52,69,6,-0.0134718806346697,57,0.01346522,"50 NTU",80,"day ",3,9
"409",53,70,6,-0.0155552825288189,58,0.011290206,"50 NTU",80,"day",3,9
"410",54,71,6,-0.00807883763897332,59,0.019082013,"50 NTU",80,"day ",3,9
"411",55,72,6,-0.00129374420019637,60,0.026164571,"50 NTU",80,"day",3,9
"412",56,73,6,-0.0211381603426378,61,0.00548934,"50 NTU",80,"night",3,9
"413",57,74,6,-0.00968259644098577,62,0.01743489,"50 NTU",80,"night",3,9
"414",58,75,6,-0.0227616231849579,63,0.003777894,"50 NTU",80,"night",3,9
"415",59,76,6,-0.00668418619433243,64,0.020549487,"50 NTU",80,"night",3,9
"416",60,77,6,-0.0448966625795641,65,-0.019298746,"50 NTU",80,"night",3,9
"417",61,78,6,-0.050766254500611,66,-0.0254027,"50 NTU",80,"night",3,9
"418",62,79,6,-0.0433889634249244,67,-0.017715968,"50 NTU",80,"night",3,9
"419",63,80,6,-0.0453178014255642,68,-0.019723024,"50 NTU",80,"night",3,9
"420",64,81,6,-0.0443288128987397,69,-0.018687538,"50 NTU",80,"night",3,9
"421",65,82,6,-0.0474772184706923,70,-0.021984358,"50 NTU",80,"night",3,9
"422",66,83,6,-0.0429333668689877,71,-0.01723825,"50 NTU",80,"night",3,9
"423",67,84,6,-0.052971838990229,72,-0.027703433,"50 NTU",80,"night",3,9
"424",1,13,7,-0.00297085500521676,1,0.008882574,"15 NTU",80,"day",1,9
"425",2,14,7,0.00191852453408148,2,0.013959538,"15 NTU",80,"day",1,9
"426",3,15,7,-0.00135311963479876,3,0.010563182,"15 NTU",80,"day",1,9
"427",4,16,7,0.00459478658093546,4,0.016738046,"15 NTU",80,"day",1,9
"428",5,17,7,-0.00201030294932425,5,0.009868349,"15 NTU",80,"day",1,9
"429",6,18,7,-0.00249803641196974,6,0.009368585,"15 NTU",80,"day",1,9
"430",7,19,7,0.0076021604371238,7,0.019859485,"15 NTU",80,"day",1,9
"431",8,20,7,0.00127094378653033,8,0.013285407,"15 NTU",80,"day",1,9
"432",9,21,7,0.0113803263322187,9,0.023791207,"15 NTU",80,"day",1,9
"433",10,22,7,-0.000626794664785022,10,0.011312589,"15 NTU",80,"day",1,9
"434",11,23,7,0.00613468887309202,11,0.018346116,"15 NTU",80,"day",1,9
"435",12,24,7,-0.00372167312386327,12,0.0080918,"15 NTU",80,"day",1,9
"436",13,25,7,-0.0383357118336642,13,-0.027869425,"15 NTU",80,"night",1,9
"437",14,26,7,-0.0442858802266129,14,-0.034060496,"15 NTU",80,"night",1,9
"438",15,27,7,-0.0385214721358206,15,-0.028059402,"15 NTU",80,"night",1,9
"439",16,28,7,-0.0376391073930505,16,-0.027144253,"15 NTU",80,"night",1,9
"440",17,29,7,-0.0411021686862765,17,-0.030737293,"15 NTU",80,"night",1,9
"441",18,30,7,-0.0388254186324885,18,-0.028375089,"15 NTU",80,"night",1,9
"442",19,31,7,-0.0411839776310032,19,-0.030835945,"15 NTU",80,"night",1,9
"443",20,32,7,-0.0389327308029251,20,-0.028486895,"15 NTU",80,"night",1,9
"444",21,33,7,-0.034485565278138,21,-0.023867342,"15 NTU",80,"night",1,9
"445",22,34,7,-0.0399346665319576,22,-0.02952354,"15 NTU",80,"night",1,9
"446",23,35,7,-0.0374275454799211,23,-0.02692248,"15 NTU",80,"night",1,9
"447",24,36,7,-0.0405168528928095,24,-0.030141356,"15 NTU",80,"night",1,9
"448",25,37,7,0.001505165599895,25,0.013535805,"15 NTU",80,"day ",2,9
"449",26,38,7,0.00792428531877696,26,0.020201117,"15 NTU",80,"day",2,9
"450",27,39,7,0.00202103197925088,27,0.014062449,"15 NTU",80,"day ",2,9
"451",28,40,7,0.00930403371466645,28,0.021632598,"15 NTU",80,"day",2,9
"452",29,41,7,-0.0029598670362464,29,0.00888716,"15 NTU",80,"day ",2,9
"453",30,42,7,0.00755596561894165,30,0.019817807,"15 NTU",80,"day",2,9
"454",31,43,7,-0.00247745974078508,31,0.009391042,"15 NTU",80,"day ",2,9
"455",32,44,7,0.00973590229908808,32,0.02207338,"15 NTU",80,"day",2,9
"456",33,46,7,-0.0030057500926008,34,0.008845228,"15 NTU",80,"day",2,9
"457",34,48,7,-0.00410728559712241,36,0.007702521,"15 NTU",80,"day",2,9
"458",35,49,7,-0.0220898572797828,37,-0.01098165,"15 NTU",80,"night ",2,9
"459",36,50,7,-0.0262669532629785,38,-0.015316062,"15 NTU",80,"night ",2,9
"460",37,51,7,-0.0236722553306653,39,-0.012624041,"15 NTU",80,"night ",2,9
"461",38,52,7,-0.0289245194129059,40,-0.018080962,"15 NTU",80,"night ",2,9
"462",39,53,7,-0.0263162268146435,41,-0.015374104,"15 NTU",80,"night ",2,9
"463",40,54,7,-0.0342341261175987,42,-0.023614224,"15 NTU",80,"night ",2,9
"464",41,55,7,-0.0369077755358949,43,-0.026383656,"15 NTU",80,"night ",2,9
"465",42,56,7,-0.0349318762804883,44,-0.024337508,"15 NTU",80,"night ",2,9
"466",43,57,7,-0.0376634162721846,45,-0.027168523,"15 NTU",80,"night ",2,9
"467",44,58,7,-0.0354327629580456,46,-0.024851673,"15 NTU",80,"night ",2,9
"468",45,59,7,-0.0394828390881157,47,-0.029055288,"15 NTU",80,"night ",2,9
"469",46,60,7,-0.037427376857097,48,-0.026919685,"15 NTU",80,"night ",2,9
"470",47,61,7,-0.00341848328184145,49,0.008415447,"15 NTU",80,"day ",3,9
"471",48,62,7,-0.00226360643192352,50,0.009613875,"15 NTU",80,"day",3,9
"472",49,63,7,0.00210882217667485,51,0.014142701,"15 NTU",80,"day ",3,9
"473",50,64,7,-0.00300473830683842,52,0.00884041,"15 NTU",80,"day",3,9
"474",51,65,7,-0.00538941338764047,53,0.006359667,"15 NTU",80,"day ",3,9
"475",52,66,7,-0.00489535280999451,54,0.006873258,"15 NTU",80,"day",3,9
"476",53,67,7,-0.00244636979780042,55,0.00941908,"15 NTU",80,"day ",3,9
"477",54,68,7,-0.00655322937087213,56,0.005154249,"15 NTU",80,"day",3,9
"478",55,69,7,-0.00821390202428332,57,0.003428532,"15 NTU",80,"day ",3,9
"479",56,70,7,-0.0129610780648689,58,-0.001510049,"15 NTU",80,"day",3,9
"480",57,71,7,-0.01130418824531,59,0.000211088,"15 NTU",80,"day ",3,9
"481",58,72,7,-0.00875090476688108,60,0.002873026,"15 NTU",80,"day",3,9
"482",59,73,7,-0.0476679279436834,61,-0.037560823,"15 NTU",80,"night",3,9
"483",60,74,7,-0.0444357274067172,62,-0.034198734,"15 NTU",80,"night",3,9
"484",61,75,7,-0.0466676865713487,63,-0.036528401,"15 NTU",80,"night",3,9
"485",62,76,7,-0.0441085015625943,64,-0.033868616,"15 NTU",80,"night",3,9
"486",63,77,7,-0.0427042574306351,65,-0.032400176,"15 NTU",80,"night",3,9
"487",64,78,7,-0.0411467728161354,66,-0.03078596,"15 NTU",80,"night",3,9
"488",65,79,7,-0.0403855893978309,67,-0.030000039,"15 NTU",80,"night",3,9
"489",66,80,7,-0.0375736451959571,68,-0.027070518,"15 NTU",80,"night",3,9
"490",67,81,7,-0.0407263707301916,69,-0.030347013,"15 NTU",80,"night",3,9
"491",68,82,7,-0.0397972235767934,70,-0.02938872,"15 NTU",80,"night",3,9
"492",69,83,7,-0.0378251507755327,71,-0.027331889,"15 NTU",80,"night",3,9
"493",70,84,7,-0.0421833691765269,72,-0.031859104,"15 NTU",80,"night",3,9
"494",1,13,8,0.00567539458717121,1,0.027452196,"0 NTU",80,"day",1,9
"495",2,16,8,0.000497501564809348,4,0.022056303,"0 NTU",80,"day",1,9
"496",3,18,8,-0.0020227825501013,6,0.019436232,"0 NTU",80,"day",1,9
"497",4,19,8,0.00364586665974501,7,0.025332936,"0 NTU",80,"day",1,9
"498",5,20,8,-0.000882695962782831,8,0.020624272,"0 NTU",80,"day",1,9
"499",6,21,8,0.00287998381136406,9,0.024536597,"0 NTU",80,"day",1,9
"500",7,22,8,-0.00245980050903125,10,0.018981461,"0 NTU",80,"day",1,9
"501",8,23,8,0.00256812038744414,11,0.024218704,"0 NTU",80,"day",1,9
"502",9,24,8,-0.00500911719234107,12,0.016329347,"0 NTU",80,"day",1,9
"503",10,25,8,-0.0121486395677054,13,0.008908882,"0 NTU",80,"night",1,9
"504",11,26,8,-0.0128217266853033,14,0.008202053,"0 NTU",80,"night",1,9
"505",12,27,8,-0.0119617488989581,15,0.009103614,"0 NTU",80,"night",1,9
"506",13,28,8,-0.00785437493949238,16,0.013378634,"0 NTU",80,"night",1,9
"507",14,29,8,-0.0121471490228635,17,0.008912811,"0 NTU",80,"night",1,9
"508",15,30,8,-0.0104464841729782,18,0.010681252,"0 NTU",80,"night",1,9
"509",16,31,8,-0.0115655834785191,19,0.009509186,"0 NTU",80,"night",1,9
"510",17,32,8,-0.0116387117451786,20,0.009437785,"0 NTU",80,"night",1,9
"511",18,33,8,-0.00686613911130534,21,0.014409275,"0 NTU",80,"night",1,9
"512",19,34,8,-0.0116274449284594,22,0.009455461,"0 NTU",80,"night",1,9
"513",20,35,8,-0.00983237437545301,23,0.011322472,"0 NTU",80,"night",1,9
"514",21,36,8,-0.0123382605125416,24,0.008706033,"0 NTU",80,"night",1,9
"515",22,37,8,0.00397863949862429,25,0.02568715,"0 NTU",80,"day ",2,9
"516",23,38,8,0.00389141672636378,26,0.025596504,"0 NTU",80,"day",2,9
"517",24,39,8,-0.000947863445758903,27,0.020552159,"0 NTU",80,"day ",2,9
"518",25,40,8,0.00379348957679548,28,0.025492019,"0 NTU",80,"day",2,9
"519",26,43,8,-0.000531584038706125,31,0.020989902,"0 NTU",80,"day ",2,9
"520",27,44,8,0.00749006563159093,32,0.029333733,"0 NTU",80,"day",2,9
"521",28,45,8,0.00750329282133006,33,0.029349507,"0 NTU",80,"day ",2,9
"522",29,46,8,0.00814266127384373,34,0.030019805,"0 NTU",80,"day",2,9
"523",30,47,8,0.012212528408675,35,0.034251167,"0 NTU",80,"day ",2,9
"524",31,48,8,0.006087448281137,36,0.027880097,"0 NTU",80,"day",2,9
"525",32,49,8,-0.0363982727490456,37,-0.016339185,"0 NTU",80,"night ",2,9
"526",33,50,8,-0.0396920259063451,38,-0.019758261,"0 NTU",80,"night ",2,9
"527",34,51,8,-0.0372588928573693,39,-0.017231712,"0 NTU",80,"night ",2,9
"528",35,52,8,-0.0421879168928694,40,-0.022361511,"0 NTU",80,"night ",2,9
"529",36,53,8,-0.0387711355218568,41,-0.018806971,"0 NTU",80,"night ",2,9
"530",37,54,8,-0.0432687155308513,42,-0.023492503,"0 NTU",80,"night ",2,9
"531",38,55,8,-0.0330978313122242,43,-0.012898381,"0 NTU",80,"night ",2,9
"532",39,56,8,-0.0307123988463963,44,-0.010421215,"0 NTU",80,"night ",2,9
"533",40,57,8,-0.0324303707856763,45,-0.012202271,"0 NTU",80,"night ",2,9
"534",41,58,8,-0.0309531575670269,46,-0.010665702,"0 NTU",80,"night ",2,9
"535",42,59,8,-0.0335527414035333,47,-0.013368541,"0 NTU",80,"night ",2,9
"536",43,60,8,-0.0339904134165568,48,-0.013830969,"0 NTU",80,"night ",2,9
"537",44,61,8,0.000819949009937226,49,0.022401722,"0 NTU",80,"day ",3,9
"538",45,62,8,0.00137571336823992,50,0.022977316,"0 NTU",80,"day",3,9
"539",46,64,8,0.00374874104748023,52,0.025442983,"0 NTU",80,"day",3,9
"540",47,66,8,-0.000835156730191949,54,0.020669045,"0 NTU",80,"day",3,9
"541",48,67,8,0.00468166749493866,55,0.026410582,"0 NTU",80,"day ",3,9
"542",49,68,8,0.00343171028366602,56,0.025116608,"0 NTU",80,"day",3,9
"543",50,69,8,-0.00172014199554633,57,0.019749774,"0 NTU",80,"day ",3,9
"544",51,70,8,-0.00566151646888283,58,0.015643724,"0 NTU",80,"day",3,9
"545",52,71,8,-0.00142980969809269,59,0.020048003,"0 NTU",80,"day ",3,9
"546",53,72,8,0.00227678440527627,60,0.023913983,"0 NTU",80,"day",3,9
"547",54,73,8,-0.0323548733112281,61,-0.012119654,"0 NTU",80,"night",3,9
"548",55,74,8,-0.0298301551136185,62,-0.009489343,"0 NTU",80,"night",3,9
"549",56,75,8,-0.0335867683876966,63,-0.013405027,"0 NTU",80,"night",3,9
"550",57,76,8,-0.0297962690507295,64,-0.009462676,"0 NTU",80,"night",3,9
"551",58,77,8,-0.0349449354718161,65,-0.014815949,"0 NTU",80,"night",3,9
"552",59,78,8,-0.0351213737092956,66,-0.015001818,"0 NTU",80,"night",3,9
"553",60,79,8,-0.0346821401925173,67,-0.014549593,"0 NTU",80,"night",3,9
"554",61,80,8,-0.0313619010379157,68,-0.011087403,"0 NTU",80,"night",3,9
"555",62,81,8,-0.034593195766336,69,-0.014451822,"0 NTU",80,"night",3,9
"556",63,82,8,-0.0342195307534417,70,-0.014069613,"0 NTU",80,"night",3,9
"557",64,83,8,-0.0316094533553172,71,-0.011344085,"0 NTU",80,"night",3,9
"558",65,84,8,-0.0349090375776726,72,-0.014779873,"0 NTU",80,"night",3,9
